time	Variable__P_MolarConc	Variable__S_MolarConc	
0	3.321080282330513e-02	1.328432112932205e-01	
0.001	3.322026133537292e-02	1.328337490558624e-01	
0.009	3.329590708017349e-02	1.327581107616425e-01	
0.073	3.389951214194298e-02	1.321545094251633e-01	
0.585	3.863059356808662e-02	1.274234205484390e-01	
2.705	5.648621544241905e-02	1.095678061246872e-01	
4.826	7.183975726366043e-02	9.421426057815552e-02	
6.946	8.504183590412140e-02	8.101218193769455e-02	
9.492	9.847632050514221e-02	6.757769733667374e-02	
12.039	1.096829250454903e-01	5.637109279632568e-02	
14.585	1.190311089158058e-01	4.702291265130043e-02	
17.132	1.268290430307388e-01	3.922496736049652e-02	
19.679	1.333338320255280e-01	3.272017836570740e-02	
22.742	1.397454440593719e-01	2.630856819450855e-02	
25.648	1.446628421545029e-01	2.139117196202278e-02	
28.554	1.486611217260361e-01	1.739289797842503e-02	
31.46	1.519120633602142e-01	1.414195168763399e-02	
34.366	1.545553654432297e-01	1.149864587932825e-02	
37.271	1.567046046257019e-01	9.349407628178596e-03	
40.177	1.584521234035492e-01	7.601887919008732e-03	
43.083	1.598730236291885e-01	6.181001197546721e-03	
45.989	1.610283255577087e-01	5.025696009397507e-03	
48.895	1.619676798582077e-01	4.086331464350224e-03	
51.801	1.627314686775208e-01	3.322545671835542e-03	
54.707	1.633525043725967e-01	2.701520919799805e-03	
57.613	1.638574451208115e-01	2.196573419496417e-03	
60.519	1.642680168151855e-01	1.786006730981171e-03	
63.425	1.646018326282501e-01	1.452180091291666e-03	
66.331	1.648732721805573e-01	1.180749735794961e-03	
69.237	1.650939583778381e-01	9.600530029274523e-04	
72.143	1.652734130620956e-01	7.806072826497257e-04	
75.049	1.654193103313446e-01	6.347021553665400e-04	
77.955	1.655379533767700e-01	5.160684813745320e-04	
80.861	1.656344085931778e-01	4.196089284960181e-04	
83.767	1.657128334045410e-01	3.411788493394852e-04	
86.673	1.657766103744507e-01	2.774083113763481e-04	
89.579	1.658284664154053e-01	2.255572762805969e-04	
92.485	1.658706218004227e-01	1.833978458307683e-04	
95.391	1.659048944711685e-01	1.491185248596594e-04	
98.297	1.659327745437622e-01	1.212464339914732e-04	
100	1.659466177225113e-01	1.074025421985425e-04	
