time	Variable_CELL_CYTOPLASM_M_MolarConc	Variable_CELL_CYTOPLASM_P0_MolarConc	Variable_CELL_CYTOPLASM_P1_MolarConc	Variable_CELL_CYTOPLASM_P2_MolarConc	Variable_CELL_CYTOPLASM_Pn_MolarConc	
0	3.612000048160553e-01	3.009999990463257e-01	3.009999990463257e-01	3.612000048160553e-01	6.211465597152710e-01	
0.001	3.615404069423676e-01	3.009254336357117e-01	3.009402155876160e-01	3.609816431999207e-01	6.210252046585083e-01	
0.009	3.642609119415283e-01	3.003354668617249e-01	3.004570901393890e-01	3.592515289783478e-01	6.200453639030457e-01	
0.073	3.858580887317657e-01	2.960196733474731e-01	2.963306009769440e-01	3.463788330554962e-01	6.116852164268494e-01	
0.181	4.216045141220093e-01	2.902343869209290e-01	2.887440323829651e-01	3.277779519557953e-01	5.960632562637329e-01	
0.288	4.568555951118469e-01	2.860470116138458e-01	2.808966338634491e-01	3.117859959602356e-01	5.792046785354614e-01	
0.396	4.917600750923157e-01	2.832414805889130e-01	2.731973230838776e-01	2.975400090217590e-01	5.616769194602966e-01	
0.536	5.370510220527649e-01	2.813844680786133e-01	2.637329399585724e-01	2.807332277297974e-01	5.383339524269104e-01	
0.677	5.820467472076416e-01	2.813207209110260e-01	2.551985681056976e-01	2.654664516448975e-01	5.149890780448914e-01	
0.869	6.431083083152771e-01	2.837329804897308e-01	2.452372312545776e-01	2.466233223676682e-01	4.837094545364380e-01	
1.107	7.182857990264893e-01	2.901453077793121e-01	2.356270104646683e-01	2.260916829109192e-01	4.466101527214050e-01	
1.412	8.136355876922607e-01	3.029717504978180e-01	2.274832278490067e-01	2.040619403123856e-01	4.028001427650452e-01	
1.717	9.076628088951111e-01	3.200788497924805e-01	2.235268652439117e-01	1.865474581718445e-01	3.639532029628754e-01	
2.085	1.019062876701355e+00	3.454074859619141e-01	2.235604971647263e-01	1.708894968032837e-01	3.242543637752533e-01	
2.453	1.127715468406677e+00	3.749147355556488e-01	2.280362546443939e-01	1.605290323495865e-01	2.925788164138794e-01	
2.821	1.233436703681946e+00	4.078540802001953e-01	2.361888438463211e-01	1.546829044818878e-01	2.685832083225250e-01	
3.298	1.365887880325317e+00	4.546744227409363e-01	2.511586546897888e-01	1.526631265878677e-01	2.478822022676468e-01	
3.775	1.493554711341858e+00	5.053970217704773e-01	2.700908780097961e-01	1.557315737009048e-01	2.373350411653519e-01	
4.251	1.616692662239075e+00	5.593788027763367e-01	2.921397089958191e-01	1.629160344600677e-01	2.353085130453110e-01	
4.728	1.735539913177490e+00	6.161618232727051e-01	3.166843056678772e-01	1.735088676214218e-01	2.403693199157715e-01	
5.205	1.850258350372314e+00	6.754136085510254e-01	3.432748019695282e-01	1.870052516460419e-01	2.513472735881805e-01	
5.681	1.960900187492371e+00	7.368807196617126e-01	3.715853393077850e-01	2.030482739210129e-01	2.673297524452209e-01	
6.296	2.097445487976074e+00	8.190920352935791e-01	4.102589488029480e-01	2.271016538143158e-01	2.942367196083069e-01	
